school_name,phase_2B_vacancies,phase_2B_applications,popularity
SHUQUN PRIMARY SCHOOL,30,11,0.37
CHONGZHENG PRIMARY SCHOOL,20,7,0.35
CHIJ (KELLOCK),46,16,0.35
CHIJ OUR LADY QUEEN OF PEACE,46,12,0.26
DE LA SALLE SCHOOL,48,12,0.25
PRINCESS ELIZABETH PRIMARY SCHOOL,20,5,0.25
PUNGGOL PRIMARY SCHOOL,28,6,0.21
PUNGGOL GREEN PRIMARY SCHOOL,20,4,0.2
WELLINGTON PRIMARY SCHOOL,20,4,0.2
WOODGROVE PRIMARY SCHOOL,25,5,0.2
MARYMOUNT CONVENT SCHOOL,67,13,0.19
WEST GROVE PRIMARY SCHOOL,52,8,0.15
JURONG WEST PRIMARY SCHOOL,27,4,0.15
TECK GHEE PRIMARY SCHOOL,41,6,0.15
ALEXANDRA PRIMARY SCHOOL,39,4,0.1
RIVERSIDE PRIMARY SCHOOL,20,2,0.1
NGEE ANN PRIMARY SCHOOL,42,4,0.1
QIHUA PRIMARY SCHOOL,54,5,0.09
GEYLANG METHODIST SCHOOL (PRIMARY),44,4,0.09
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,67,6,0.09
KHENG CHENG SCHOOL,48,4,0.08
FERN GREEN PRIMARY SCHOOL,25,2,0.08
CONCORD PRIMARY SCHOOL,39,3,0.08
TAMPINES PRIMARY SCHOOL,28,2,0.07
TELOK KURAU PRIMARY SCHOOL,28,2,0.07
TOWNSVILLE PRIMARY SCHOOL,43,3,0.07
ELIAS PARK PRIMARY SCHOOL,30,2,0.07
HUAMIN PRIMARY SCHOOL,32,2,0.06
VALOUR PRIMARY SCHOOL,33,2,0.06
ENDEAVOUR PRIMARY SCHOOL,52,3,0.06
JING SHAN PRIMARY SCHOOL,24,1,0.04
FENGSHAN PRIMARY SCHOOL,25,1,0.04
JIEMIN PRIMARY SCHOOL,28,1,0.04
WATERWAY PRIMARY SCHOOL,28,1,0.04
PUNGGOL COVE PRIMARY SCHOOL,31,1,0.03
ZHANGDE PRIMARY SCHOOL,31,1,0.03
NAVAL BASE PRIMARY SCHOOL,35,1,0.03
SEMBAWANG PRIMARY SCHOOL,35,1,0.03
OPERA ESTATE PRIMARY SCHOOL,36,1,0.03
PARK VIEW PRIMARY SCHOOL,36,1,0.03
XISHAN PRIMARY SCHOOL,37,1,0.03
FERNVALE PRIMARY SCHOOL,38,1,0.03
ZHONGHUA PRIMARY SCHOOL,39,1,0.03
BUKIT TIMAH PRIMARY SCHOOL,42,1,0.02
FARRER PARK PRIMARY SCHOOL,42,1,0.02
HAIG GIRLS' SCHOOL,43,1,0.02
GREENWOOD PRIMARY SCHOOL,46,1,0.02
PALM VIEW PRIMARY SCHOOL,46,1,0.02
YEW TEE PRIMARY SCHOOL,46,1,0.02
FUCHUN PRIMARY SCHOOL,49,1,0.02
CORPORATION PRIMARY SCHOOL,51,1,0.02
NORTHSHORE PRIMARY SCHOOL,59,1,0.02
XINGNAN PRIMARY SCHOOL,63,1,0.02
LIANHUA PRIMARY SCHOOL,79,1,0.01
AHMAD IBRAHIM PRIMARY SCHOOL,43,0,0
ANCHOR GREEN PRIMARY SCHOOL,40,0,0
ANG MO KIO PRIMARY SCHOOL,50,0,0
ANGSANA PRIMARY SCHOOL,67,0,0
BEACON PRIMARY SCHOOL,45,0,0
BEDOK GREEN PRIMARY SCHOOL,51,0,0
BENDEMEER PRIMARY SCHOOL,44,0,0
BLANGAH RISE PRIMARY SCHOOL,32,0,0
BOON LAY GARDEN PRIMARY SCHOOL,75,0,0
BUKIT VIEW PRIMARY SCHOOL,77,0,0
CANTONMENT PRIMARY SCHOOL,45,0,0
CASUARINA PRIMARY SCHOOL,28,0,0
CEDAR PRIMARY SCHOOL,62,0,0
CHANGKAT PRIMARY SCHOOL,48,0,0
CLEMENTI PRIMARY SCHOOL,60,0,0
DAMAI PRIMARY SCHOOL,59,0,0
DAZHONG PRIMARY SCHOOL,24,0,0
EAST SPRING PRIMARY SCHOOL,38,0,0
EDGEFIELD PRIMARY SCHOOL,46,0,0
EVERGREEN PRIMARY SCHOOL,42,0,0
FIRST TOA PAYOH PRIMARY SCHOOL,42,0,0
FUHUA PRIMARY SCHOOL,27,0,0
GAN ENG SENG PRIMARY SCHOOL,37,0,0
GREENDALE PRIMARY SCHOOL,44,0,0
GREENRIDGE PRIMARY SCHOOL,39,0,0
JUNYUAN PRIMARY SCHOOL,37,0,0
JURONG PRIMARY SCHOOL,26,0,0
KRANJI PRIMARY SCHOOL,33,0,0
LAKESIDE PRIMARY SCHOOL,38,0,0
MARSILING PRIMARY SCHOOL,46,0,0
MAYFLOWER PRIMARY SCHOOL,38,0,0
MERIDIAN PRIMARY SCHOOL,35,0,0
NEW TOWN PRIMARY SCHOOL,58,0,0
NORTH SPRING PRIMARY SCHOOL,46,0,0
NORTH VIEW PRIMARY SCHOOL,48,0,0
NORTH VISTA PRIMARY SCHOOL,39,0,0
NORTHOAKS PRIMARY SCHOOL,62,0,0
OASIS PRIMARY SCHOOL,20,0,0
PEI TONG PRIMARY SCHOOL,58,0,0
PEIYING PRIMARY SCHOOL,36,0,0
PUNGGOL VIEW PRIMARY SCHOOL,20,0,0
QUEENSTOWN PRIMARY SCHOOL,40,0,0
SENG KANG PRIMARY SCHOOL,49,0,0
SI LING PRIMARY SCHOOL,32,0,0
SPRINGDALE PRIMARY SCHOOL,29,0,0
TAMPINES NORTH PRIMARY SCHOOL,49,0,0
TECK WHYE PRIMARY SCHOOL,57,0,0
UNITY PRIMARY SCHOOL,41,0,0
WEST SPRING PRIMARY SCHOOL,20,0,0
WEST VIEW PRIMARY SCHOOL,28,0,0
WOODLANDS RING PRIMARY SCHOOL,47,0,0
XINGHUA PRIMARY SCHOOL,77,0,0
YIO CHU KANG PRIMARY SCHOOL,47,0,0
YISHUN PRIMARY SCHOOL,33,0,0
YUHUA PRIMARY SCHOOL,50,0,0
YUMIN PRIMARY SCHOOL,36,0,0
ZHENGHUA PRIMARY SCHOOL,30,0,0
